sqft_living,price
1160 ,405000 
1830 ,338900 
1805 ,266000 
2130 ,730000 
1820 ,265000 
1400 ,372500 
3370 ,595000 
3200 ,1220000 
2420 ,399950 
3100 ,590000 
1880 ,485000 
3250 ,480000 
1070 ,415000 
2050 ,314500 
3740 ,595000 
2020 ,521000 
3180 ,1000000 
1140 ,269900 
2250 ,496500 
1255 ,312000 
1550 ,460000 
1800 ,865000 
1220 ,387500 
1830 ,373000 
2900 ,690000 
2830 ,700000 
1450 ,243000 
1010 ,405500 
2660 ,452000 
1670 ,289950 
1440 ,210000 
1050 ,245000 
1470 ,328000 
4230 ,985000 
1970 ,501000 
2156 ,347500 
1920 ,605000 
1170 ,459000 
2010 ,650000 
2150 ,950000 
3950 ,1310000 
2400 ,856600 
1400 ,330000 
2490 ,824000 
1200 ,390000 
2000 ,420000 
1240 ,320000 
2090 ,460000 
1940 ,232500 
1330 ,249950 
1630 ,422120 
2990 ,625000 
1950 ,361000 
1680 ,347000 
1150 ,310000 
1900 ,270000 
1350 ,430000 
1340 ,320000 
2390 ,450000 
1150 ,166600 
1650 ,539900 
1420 ,275000 
3064 ,1100000 
2040 ,720000 
2200 ,930000 
3200 ,1270000 
1330 ,374000 
1940 ,480000 
1230 ,209000 
1710 ,431650 
1410 ,205000 
2390 ,420000 
1250 ,288349 
1060 ,299995 
2020 ,253000 
1580 ,350000 
1810 ,260000 
1520 ,210000 
2970 ,469500 
1280 ,216000 
1760 ,420000 
1490 ,253000 
740 ,178500 
1560 ,270000 
1750 ,460000 
1930 ,321500 
870 ,271310 
1490 ,245000 
1920 ,554000 
1600 ,218500 
820 ,197500 
1780 ,470000 
1560 ,590000 
1920 ,515000 
1930 ,716500 
1020 ,399950 
1520 ,550000 
1190 ,250000 
1050 ,360000 
2010 ,310000 
1810 ,208000 
3410 ,500000 
990 ,285000 
720 ,151000 
1380 ,285000 
1260 ,195000 
3160 ,1130000 
2960 ,367000 
2540 ,350900 
3030 ,660000 
1350 ,353000 
2020 ,302000 
2550 ,272000 
1130 ,400000 
1020 ,225000 
1680 ,380000 
1860 ,510000 
2430 ,510000 
1930 ,425000 
3230 ,699000 
1570 ,315000 
1520 ,460000 
2010 ,605000 
1280 ,585000 
2530 ,902000 
1270 ,655000 
1540 ,357000 
1150 ,361000 
1580 ,525000 
2490 ,949000 
4190 ,460000 
2320 ,485500 
2180 ,330000 
2280 ,320000 
1710 ,211000 
2030 ,360000 
790 ,435000 
2340 ,645000 
1840 ,375000 
1980 ,410500 
3690 ,780000 
2000 ,546000 
1760 ,317000 
2630 ,495000 
2150 ,609000 
2680 ,470000 
2400 ,590000 
2350 ,747500 
2440 ,425000 
2950 ,530000 
1620 ,600000 
1510 ,279950 
830 ,110000 
2120 ,1200000 
1550 ,805000 
2080 ,567500 
1300 ,445950 
1720 ,274500 
3230 ,729953 
1350 ,345000 
3280 ,1080000 
1981 ,303700 
2440 ,672000 
1150 ,334000 
2790 ,1130000 
2470 ,503000 
2740 ,651000 
5320 ,1060000 
910 ,280000 
1920 ,635000 
1360 ,345000 
2100 ,283500 
2630 ,445000 
1770 ,1180000 
2390 ,799000 
920 ,340895 
2730 ,780000 
1320 ,350000 
1760 ,715000 
3770 ,1230000 
1010 ,215000 
660 ,250000 
3020 ,755000 
1500 ,707500 
1890 ,359000 
3340 ,1330000 
820 ,420000 
970 ,425000 
2690 ,340000 
2520 ,442000 
2210 ,432900 
1650 ,550000 
970 ,170000 
2090 ,555000 
2130 ,819000 
6563 ,1300000 
1510 ,415000 
1730 ,250000 
2360 ,957500 
1650 ,434500 
3090 ,602500 
3100 ,539950 
1210 ,380000 
1530 ,352000 
1920 ,443500 
1150 ,332000 
2320 ,655000 
1420 ,475000 
1550 ,372500 
2300 ,900000 
1790 ,390000 
1510 ,451101 
2500 ,895000 
2820 ,336000 
2530 ,454000 
1340 ,192000 
790 ,169317 
2380 ,415000 
1890 ,325000 
2040 ,561750 
1510 ,299000 
2190 ,340000 
1300 ,365000 
1330 ,425000 
1020 ,293000 
2090 ,339000 
1600 ,224000 
1610 ,390000 
2220 ,470000 
1140 ,467000 
930 ,281000 
1782 ,326000 
1740 ,340000 
3690 ,440000 
1820 ,453000 
1880 ,520500 
1180 ,360000 
2060 ,200000 
1400 ,337000 
2070 ,379500 
950 ,469000 
2560 ,1180000 
4370 ,2350000 
2350 ,400000 
1220 ,215500 
2420 ,950000 
2600 ,330000 
1920 ,240000 
2060 ,574000 
2360 ,480000 
1180 ,275000 
2260 ,453250 
1300 ,501000 
2360 ,753000 
1030 ,469000 
3620 ,1530000 
1580 ,249000 
1740 ,580000 
1080 ,805000 
2230 ,500000 
1900 ,685000 
2620 ,765000 
2100 ,207000 
2100 ,370000 
2190 ,411800 
2080 ,345000 
1490 ,835000 
2790 ,1050000 
2250 ,325000 
2770 ,685000 
5774 ,740000 
1450 ,490000 
2920 ,690000 
3190 ,1250000 
1560 ,335000 
1970 ,429800 
1340 ,252000 
2020 ,490000 
2260 ,780000 
680 ,200000 
3488 ,815000 
1260 ,210000 
2840 ,500000 
1010 ,180000 
1650 ,280000 
2760 ,830000 
1380 ,272000 
1980 ,760000 
2190 ,719950 
810 ,235000 
1010 ,350000 
2520 ,650000 
1530 ,320000 
1200 ,219950 
2340 ,1570000 
1720 ,380000 
1280 ,195000 
1690 ,297000 
2190 ,349000 
1240 ,150000 
1130 ,437000 
3840 ,884250 
870 ,235000 
2410 ,767500 
2410 ,715000 
2300 ,417000 
2070 ,1250000 
5180 ,1200000 
3430 ,750000 
1850 ,700000 
3040 ,870000 
2120 ,345000 
2790 ,723000 
1740 ,800000 
1800 ,325000 
2460 ,678500 
1410 ,655000 
2100 ,735000 
2250 ,550000 
1860 ,280000 
1460 ,570000 
2080 ,342500 
1400 ,460000 
2450 ,1550000 
1450 ,150000 
2400 ,333000 
2270 ,311750 
2770 ,347000 
1600 ,275000 
2630 ,665000 
3840 ,875000 
1880 ,284000 
2170 ,510000 
1480 ,468000 
1600 ,515000 
2400 ,403500 
1300 ,235000 
2260 ,660000 
1990 ,569000 
1720 ,275000 
4350 ,900000 
1020 ,322500 
2850 ,993000 
2160 ,429000 
1700 ,437000 
3060 ,446500 
1820 ,283000 
740 ,250000 
770 ,307000 
2290 ,625000 
3200 ,618000 
1560 ,305000 
1920 ,230000 
2220 ,1100000 
2600 ,482000 
2070 ,469000 
2190 ,437000 
2400 ,592000 
1670 ,335000 
2270 ,446000 
950 ,325000 
1940 ,322500 
1700 ,603000 
4750 ,487000 
2320 ,335000 
1400 ,699000 
1600 ,562000 
2950 ,992000 
1700 ,335000 
780 ,306000 
2550 ,355000 
1960 ,355950 
1090 ,143000 
1770 ,200000 
3160 ,1600000 
1290 ,265000 
2490 ,306000 
3960 ,1220000 
3190 ,1050000 
2140 ,236500 
1320 ,294000 
1510 ,322000 
2400 ,280000 
1840 ,285000 
1220 ,390000 
1560 ,269000 
1010 ,225000 
1400 ,340000 
3690 ,865000 
3200 ,490000 
1440 ,465000 
1630 ,265000 
2460 ,646000 
2310 ,785000 
2940 ,1600000 
3900 ,1620000 
3900 ,1650000 
1480 ,275000 
1250 ,212000 
2290 ,347500 
1500 ,415000 
1440 ,375000 
2580 ,620000 
1880 ,565000 
2420 ,399500 
900 ,320000 
900 ,381500 
1070 ,299000 
3790 ,1170000 
2060 ,420000 
1480 ,395000 
3780 ,980000 
3770 ,872000 
2980 ,900000 
2320 ,475000 
2980 ,350000 
2930 ,840000 
2660 ,523000 
1570 ,356500 
1750 ,456150 
2490 ,470000 
1890 ,271900 
2240 ,415000 
2240 ,675000 
2560 ,780000 
1330 ,320000 
1740 ,410000 
1890 ,298500 
3250 ,779000 
2380 ,699900 
1540 ,278500 
2710 ,535000 
2970 ,726000 
3130 ,866059 
2040 ,555000 
2040 ,325900 
1730 ,275000 
1980 ,638500 
1360 ,223000 
1980 ,711000 
2470 ,525000 
2340 ,459950 
1480 ,256000 
3070 ,900000 
1170 ,145600 
1980 ,450000 
2210 ,590000 
1140 ,576000 
3080 ,1400000 
1560 ,306000 
1400 ,399950 
2280 ,534000 
1760 ,322000 
1130 ,443000 
1530 ,335000 
1110 ,249000 
1730 ,700000 
1070 ,406650 
3590 ,798000 
1960 ,180000 
2670 ,685000 
1640 ,311000 
2550 ,675000 
1690 ,430000 
1420 ,579950 
1300 ,455000 
1200 ,160000 
1910 ,1130000 
1170 ,350000 
1380 ,265000 
780 ,167000 
840 ,209000 
2170 ,550000 
1630 ,313000 
2140 ,250750 
2830 ,999000 
1900 ,435000 
1920 ,495000 
2160 ,385000 
2250 ,765000 
2130 ,802000 
3360 ,590000 
2150 ,639000 
1590 ,259000 
1100 ,441000 
2540 ,945000 
970 ,200450 
2010 ,502000 
1820 ,367000 
2470 ,565000 
3930 ,1800000 
2050 ,790000 
2030 ,595000 
2090 ,200000 
2120 ,329500 
1080 ,210000 
3180 ,1130000 
960 ,158800 
1670 ,483500 
2310 ,524000 
1960 ,759000 
1160 ,275000 
1020 ,450000 
1120 ,178500 
2340 ,485000 
2230 ,700000 
1360 ,415000 
1160 ,700000 
2500 ,587500 
1890 ,490000 
1070 ,660000 
1940 ,285000 
1550 ,440000 
1030 ,210000 
1240 ,427500 
1660 ,680000 
1660 ,650000 
1580 ,551000 
940 ,252000 
1560 ,491500 
1640 ,308000 
1020 ,625000 
790 ,439000 
2020 ,575000 
1530 ,418000 
2930 ,1100000 
1400 ,349950 
1400 ,507250 
2100 ,600000 
2550 ,855000 
580 ,315000 
3600 ,875000 
2240 ,555000 
1860 ,380000 
2200 ,885000 
1050 ,206000 
1250 ,208000 
640 ,426000 
2120 ,400000 
2230 ,428000 
1880 ,410000 
2360 ,590000 
3800 ,549900 
1780 ,318500 
1350 ,240000 
700 ,250000 
3180 ,340000 
1570 ,835000 
2680 ,437500 
2460 ,425000 
1290 ,494000 
2305 ,705000 
3890 ,970000 
1760 ,579000 
2430 ,449500 
2730 ,756000 
3070 ,1570000 
790 ,189000 
2700 ,390000 
1200 ,420000 
1910 ,297500 
1260 ,216000 
2200 ,1100000 
1657 ,546000 
1680 ,419600 
2270 ,735000 
1740 ,665000 
1810 ,329500 
2350 ,805000 
1620 ,330000 
1520 ,380000 
4220 ,1170000 
1760 ,629000 
2820 ,697000 
1610 ,690000 
1860 ,967000 
2060 ,425000 
1580 ,535000 
2130 ,338500 
4520 ,1250000 
2170 ,802000 
3650 ,1580000 
2120 ,436000 
880 ,334550 
1420 ,461000 
1270 ,540000 
1940 ,529000 
3030 ,680000 
1140 ,200000 
2440 ,495000 
3210 ,889000 
1870 ,933000 
1920 ,625000 
1950 ,484000 
1530 ,458950 
2450 ,525000 
1000 ,286300 
2020 ,356000 
1060 ,510000 
1840 ,406500 
2410 ,938000 
2970 ,715000 
2490 ,634000 
1680 ,480000 
2410 ,1440000 
1820 ,350000 
2080 ,385000 
1010 ,201700 
5230 ,1350000 
1870 ,455000 
1520 ,640000 
840 ,360000 
3360 ,735000 
5370 ,884900 
2690 ,775000 
1320 ,422000 
2570 ,795000 
1410 ,211000 
2620 ,672000 
1490 ,312500 
1140 ,549000 
3490 ,759000 
2500 ,411000 
2540 ,374950 
1520 ,533250 
2700 ,680000 
2270 ,304999 
760 ,95000 
2500 ,430000 
2500 ,525000 
1360 ,445000 
4220 ,1580000 
3620 ,856000 
1920 ,399950 
2570 ,889000 
930 ,300000 
2220 ,576750 
3130 ,675000 
3010 ,359950 
2260 ,367000 
2200 ,525000 
1790 ,280000 
2050 ,442000 
1200 ,210000 
1010 ,216000 
1010 ,390000 
1340 ,357000 
2840 ,440000 
770 ,248000 
2620 ,680000 
1100 ,395000 
3410 ,1230000 
2170 ,876650 
2490 ,270000 
840 ,220000 
2720 ,408500 
1140 ,716000 
2460 ,965000 
1890 ,825000 
1100 ,210000 
2870 ,540000 
1530 ,635000 
1590 ,405000 
1370 ,239000 
1500 ,215000 
1800 ,442500 
2070 ,535000 
1950 ,400000 
1280 ,304000 
2410 ,550000 
2100 ,317000 
3150 ,700000 
2840 ,1150000 
2110 ,460000 
2160 ,665000 
2420 ,600000 
1920 ,502000 
2730 ,350000 
720 ,155000 
3500 ,790000 
1350 ,241250 
2530 ,720000 
1870 ,559950 
1840 ,639000 
3190 ,760750 
1450 ,550000 
2860 ,825050 
2540 ,690000 
1460 ,580000 
1570 ,227064 
2640 ,650000 
1730 ,465000 
2090 ,725000 
2970 ,526000 
1460 ,244000 
1310 ,300000 
1660 ,350000 
1070 ,220000 
1800 ,280000 
2990 ,1060000 
1940 ,359950 
2680 ,698000 
4190 ,910000 
1990 ,661000 
1560 ,625000 
1240 ,523000 
1090 ,292000 
1680 ,526000 
2910 ,701000 
1640 ,522500 
3180 ,523000 
1200 ,232000 
2010 ,245000 
1930 ,273000 
2050 ,790000 
1010 ,775000 
1230 ,393500 
2950 ,1050000 
1730 ,423000 
1900 ,512500 
1340 ,369000 
3240 ,1290000 
3280 ,1880000 
1730 ,379260 
2010 ,475000 
1880 ,710000 
2820 ,615000 
940 ,375000 
4140 ,2400000 
1910 ,300000 
1170 ,192950 
1410 ,325000 
1130 ,316000 
1620 ,386000 
1520 ,600000 
2840 ,339000 
1520 ,167000 
1870 ,455000 
860 ,227000 
2890 ,978000 
960 ,660000 
1120 ,435000 
1500 ,437000 
1520 ,499950 
1640 ,350000 
3250 ,1050000 
2240 ,550000 
1480 ,335000 
1980 ,796000 
1610 ,565000 
1270 ,425000 
1970 ,374950 
1870 ,285000 
2610 ,320000 
1670 ,448000 
3240 ,812000 
960 ,379500 
1940 ,790000 
2650 ,725000 
4380 ,1050000 
4040 ,910000 
1630 ,360000 
2020 ,308000 
2980 ,950000 
1790 ,393000 
1400 ,425000 
1620 ,327000 
3120 ,444900 
1370 ,469000 
2830 ,295500 
2064 ,567035 
2200 ,300000 
1490 ,285000 
1860 ,450000 
1640 ,700000 
1790 ,603000 
1300 ,397500 
1390 ,280000 
2520 ,250000 
1310 ,370000 
2430 ,362300 
2790 ,640000 
1650 ,238000 
1690 ,302500 
2220 ,585000 
1850 ,268000 
1700 ,534500 
2190 ,435000 
4660 ,760000 
770 ,407500 
1970 ,291700 
1610 ,626500 
1400 ,295000 
1140 ,380000 
800 ,414000 
1770 ,375000 
2710 ,668500 
1940 ,540000 
3450 ,1040000 
2300 ,765000 
1450 ,465000 
2605 ,599900 
2870 ,646000 
3100 ,1130000 
1860 ,775000 
1120 ,266000 
1260 ,630000 
2780 ,666000 
950 ,330000 
750 ,319000 
2800 ,1850000 
1330 ,205500 
3740 ,660000 
1140 ,310000 
2530 ,429000 
1760 ,720000 
1390 ,259000 
1110 ,369950 
1540 ,227500 
2090 ,274000 
1910 ,650000 
1790 ,437500 
1900 ,675000 
2070 ,310000 
1830 ,349000 
1410 ,760000 
1260 ,215000 
1350 ,233000 
1840 ,248000 
2740 ,407500 
1833 ,719000 
3597 ,330000 
1370 ,268000 
1350 ,498800 
2890 ,825000 
1390 ,261000 
1900 ,562200 
910 ,350000 
2360 ,499900 
2710 ,690000 
1870 ,832500 
3040 ,653000 
1460 ,220650 
1730 ,268000 
1690 ,440000 
2930 ,635000 
3360 ,329999 
2340 ,572000 
2130 ,450000 
1510 ,1000000 
3070 ,525000 
1540 ,450000 
1400 ,340000 
3230 ,815000 
2601 ,625000 
2500 ,450000 
3030 ,790000 
2220 ,490000 
2430 ,335000 
1620 ,395000 
3420 ,692500 
2200 ,547000 
1600 ,325000 
950 ,320000 
1995 ,266000 
1270 ,415000 
1040 ,440000 
1880 ,340000 
1110 ,600000 
1590 ,337000 
1200 ,249000 
3270 ,600000 
5990 ,1530000 
1550 ,250000 
1040 ,430000 
2010 ,479990 
2600 ,625000 
2920 ,859000 
2270 ,656000 
1790 ,475000 
2560 ,499000 
1200 ,420000 
1400 ,267000 
4750 ,1310000 
1050 ,310000 
2100 ,540000 
2540 ,510000 
3400 ,950000 
4270 ,770000 
2870 ,690700 
3140 ,529888 
1050 ,235000 
3695 ,994900 
2250 ,395000 
2590 ,300000 
1220 ,611900 
1100 ,240000 
890 ,169000 
1280 ,200500 
1640 ,478000 
1850 ,329000 
2670 ,669950 
3000 ,850000 
1960 ,792500 
2080 ,389000 
760 ,352000 
1460 ,685000 
1170 ,250000 
1520 ,299000 
820 ,532500 
1660 ,675000 
1630 ,375000 
1520 ,292600 
3370 ,890000 
2803 ,379000 
2120 ,582000 
2720 ,690000 
2320 ,307000 
1300 ,350000 
1560 ,368000 
2670 ,865000 
2210 ,535000 
720 ,150000 
1910 ,475000 
2038 ,319950 
2700 ,723000 
2870 ,399000 
920 ,285000 
1360 ,244000 
2320 ,779000 
2120 ,575000 
1310 ,323000 
2200 ,295000 
2280 ,520000 
1090 ,158000 
2330 ,535000 
3270 ,785000 
2160 ,433000 
2880 ,525000 
2720 ,680000 
2480 ,540000 
3930 ,1250000 
2240 ,805000 
1580 ,325000 
2120 ,300000 
1200 ,290000 
1460 ,259950 
2100 ,483000 
1690 ,719000 
2330 ,660000 
3020 ,845800 
2060 ,257500 
1050 ,325000 
1680 ,258000 
1360 ,329950 
1660 ,765000 
1810 ,304000 
2830 ,1090000 
1160 ,322500 
1450 ,230000 
1930 ,432500 
1260 ,354000 
2170 ,260000 
1800 ,377000 
1660 ,530000 
1160 ,250000 
2230 ,565000 
2000 ,630000 
1390 ,258000 
1810 ,362000 
2060 ,360000 
1650 ,272000 
1160 ,422000 
2010 ,463000 
2540 ,630000 
2500 ,350000 
1420 ,510000 
1200 ,242500 
2020 ,750000 
880 ,235000 
2410 ,560000 
1000 ,352500 
1470 ,487000 
2620 ,538000 
2850 ,1600000 
4280 ,1200000 
3238 ,355425 
2090 ,349950 
920 ,203000 
2350 ,770000 
1590 ,395000 
1780 ,472000 
2110 ,565000 
3760 ,555000 
840 ,185000 
2220 ,675000 
2320 ,600000 
1180 ,347500 
2050 ,629000 
2360 ,1090000 
3830 ,1850000 
2150 ,580000 
2130 ,215000 
2740 ,648000 
2280 ,335000 
2170 ,842000 
1340 ,225000 
1390 ,417500 
2050 ,550000 
2570 ,625700 
2660 ,595000 
1840 ,730001 
2130 ,325000 
1150 ,450000 
2680 ,653000 
1130 ,207000 
2430 ,690000 
2750 ,980000 
2220 ,435000 
1700 ,616000 
1610 ,203000 
2490 ,572500 
1510 ,254000 
1300 ,560000 
2180 ,473000 
3470 ,1730000 
1390 ,275000 
1050 ,175000 
2060 ,550000 
2310 ,651100 
5450 ,3420000 
1290 ,268500 
1350 ,429000 
1900 ,360000 
1250 ,234900 
1190 ,350000 
2240 ,497000 
860 ,170000 
2980 ,817250 
1780 ,261000 
1850 ,515000 
1090 ,440000 
3090 ,908950 
1445 ,387000 
1010 ,225000 
2090 ,465000 
1260 ,194000 
920 ,255000 
1070 ,152000 
1610 ,435000 
3190 ,587000 
3150 ,600000 
2040 ,294000 
2240 ,975000 
1520 ,450000 
1260 ,230000 
4250 ,2200000 
1360 ,415000 
670 ,175000 
1920 ,329950 
1960 ,445000 
2095 ,670000 
1880 ,320000 
1500 ,239000 
3370 ,713900 
1060 ,340000 
1160 ,440000 
840 ,361500 
2740 ,541125 
720 ,185000 
1460 ,309950 
2110 ,780000 
1384 ,273000 
3060 ,390000 
3440 ,610000 
2200 ,216600 
1740 ,382000 
1960 ,460000 
1440 ,352000 
1760 ,471000 
930 ,287000 
2940 ,675000 
1070 ,346000 
1050 ,219000 
2070 ,450000 
1790 ,402000 
3100 ,792000 
1210 ,219950 
1970 ,606000 
1360 ,257500 
3480 ,810000 
1820 ,275000 
2130 ,380000 
1170 ,200000 
1730 ,635000 
2310 ,334000 
1960 ,280000 
1280 ,175000 
1910 ,435000 
3430 ,1200000 
3020 ,490000 
1670 ,545000 
1850 ,535000 
2330 ,490000 
1510 ,310650 
1970 ,289000 
1290 ,240000 
1880 ,334950 
1820 ,455850 
3520 ,905000 
1470 ,380000 
1830 ,494000 
1540 ,582500 
1730 ,320000 
900 ,263300 
860 ,215000 
3610 ,870000 
1430 ,800000 
1440 ,437000 
2310 ,850000 
4440 ,600000 
1250 ,144000 
3120 ,1580000 
710 ,345000 
980 ,350000 
1750 ,279000 
1660 ,315000 
810 ,238950 
1370 ,257950 
1150 ,354500 
2420 ,279950 
1760 ,647500 
1810 ,517500 
1340 ,474905 
1610 ,449950 
1900 ,340000 
1840 ,490000 
2330 ,344950 
3010 ,998160 
1700 ,550000 
2360 ,362000 
1560 ,525000 
730 ,217000 
2910 ,525000 
3160 ,545000 
7220 ,1940000 
5480 ,3650000 
1590 ,255000 
1160 ,199500 
2300 ,610000 
3300 ,1350000 
1410 ,365000 
1820 ,318400 
2900 ,1340000 
2150 ,573000 
1780 ,580000 
1840 ,301000 
1740 ,600000 
1300 ,300000 
1530 ,536000 
1980 ,550000 
2250 ,445000 
1170 ,302000 
3170 ,1040000 
2930 ,600000 
1060 ,354000 
1650 ,472500 
2470 ,515000 
2670 ,612000 
1350 ,400000 
2410 ,735000 
1640 ,471000 
1830 ,415000 
2200 ,358000 
2660 ,580000 
1600 ,442500 
3440 ,554000 
680 ,193000 
1070 ,455000 
2290 ,325500 
1990 ,359000 
2100 ,650000 
2960 ,385000 
2440 ,769000 
2150 ,468000 
3100 ,449950 
1200 ,275000 
2430 ,602000 
910 ,301000 
2060 ,647500 
3570 ,725000 
1210 ,299950 
990 ,430000 
2790 ,815000 
1440 ,339888 
1220 ,350000 
3340 ,311000 
2110 ,425000 
1550 ,390000 
4030 ,890000 
2120 ,285000 
2330 ,473975 
1315 ,347000 
1890 ,1430000 
1910 ,657500 
3090 ,1000000 
1110 ,255000 
1270 ,765000 
1640 ,775000 
2320 ,470101 
4410 ,1440000 
1650 ,525000 
1410 ,406100 
1710 ,332544 
2300 ,615000 
2310 ,327500 
2670 ,810000 
700 ,266000 
2060 ,509500 
2760 ,424950 
1150 ,410500 
2710 ,502700 
1660 ,250000 
1800 ,655000 
3510 ,1370000 
970 ,546000 
1470 ,435000 
1900 ,315000 
1240 ,345000 
1330 ,375000 
1880 ,389800 
1740 ,612000 
3160 ,589900 
2120 ,650000 
1330 ,280000 
2420 ,649950 
2600 ,452000 
5180 ,1490000 
2040 ,210500 
4010 ,1400000 
1780 ,475000 
1540 ,240000 
3050 ,707000 
1620 ,275000 
2600 ,583000 
4810 ,1300000 
2070 ,359500 
1790 ,560000 
4750 ,2180000 
2100 ,368000 
3150 ,750000 
1090 ,149000 
2670 ,605000 
2490 ,292000 
1050 ,415000 
970 ,261000 
1720 ,667000 
1640 ,190000 
1990 ,328000 
1770 ,241000 
3040 ,647000 
3640 ,780000 
1380 ,295000 
2286 ,481000 
1460 ,237950 
1510 ,470000 
880 ,330000 
1560 ,528000 
1270 ,346000 
1720 ,360000 
1810 ,713400 
1460 ,222000 
910 ,605000 
2490 ,725000 
2240 ,410000 
2680 ,721000 
1340 ,303000 
2720 ,710000 
1850 ,280017 
3200 ,1260000 
2050 ,568000 
1720 ,500000 
2690 ,500000 
1140 ,277000 
2560 ,655000 
3120 ,615000 
950 ,304000 
2940 ,605000 
1820 ,500007 
1950 ,449999 
2040 ,506000 
1240 ,375000 
2200 ,325000 
920 ,555500 
2060 ,700000 
2570 ,654000 
1530 ,620000 
1720 ,547000 
1210 ,285000 
1740 ,302000 
1720 ,555000 
1030 ,595000 
1320 ,275000 
2440 ,485000 
3370 ,1250000 
1400 ,483000 
2500 ,599950 
5850 ,1530000 
2050 ,500000 
2160 ,849000 
3220 ,384000 
1610 ,510000 
780 ,250000 
1630 ,740000 
2320 ,1070000 
2070 ,880000 
2095 ,292500 
2050 ,584999 
1270 ,299000 
1750 ,360000 
720 ,275500 
1020 ,485000 
990 ,245000 
1740 ,575000 
1490 ,615000 
1900 ,520500 
3470 ,599000 
1750 ,370000 
1640 ,242000 
3080 ,841000 
1640 ,295000 
910 ,465000 
2770 ,470000 
1530 ,231000 
1810 ,358000 
1430 ,403250 
2480 ,579000 
1220 ,935000 
1860 ,380000 
810 ,450000 
2120 ,1320000 
970 ,219900 
1940 ,520000 
2000 ,320000 
1500 ,578000 
1720 ,535000 
3680 ,679000 
1730 ,563000 
2000 ,725000 
2570 ,625000 
810 ,505000 
2880 ,680000 
1500 ,379900 
1290 ,205000 
1320 ,387500 
1030 ,367500 
1640 ,390000 
1160 ,415000 
2230 ,449000 
1470 ,300000 
1320 ,445800 
2910 ,805000 
2140 ,481500 
1630 ,507200 
2300 ,738500 
1060 ,206000 
2590 ,250000 
3820 ,830000 
2010 ,960000 
3950 ,1270000 
1600 ,220000 
2320 ,694000 
2260 ,864000 
1000 ,725000 
2030 ,545000 
1540 ,345000 
1530 ,449950 
1960 ,415000 
1690 ,295000 
3470 ,2150000 
1030 ,345000 
1630 ,376500 
3920 ,1000000 
990 ,458000 
1200 ,250000 
2400 ,499000 
2900 ,790000 
1250 ,340000 
2050 ,535500 
1940 ,565000 
2180 ,472000 
1110 ,440150 
790 ,375000 
990 ,269950 
4030 ,855000 
1480 ,276000 
3080 ,440000 
3000 ,430000 
2130 ,325000 
2150 ,615000 
2160 ,750000 
1550 ,266000 
1590 ,291000 
2400 ,745000 
2290 ,685900 
1200 ,210000 
1070 ,335000 
2070 ,653450 
1050 ,285000 
1400 ,217000 
1400 ,231200 
1300 ,439888 
4140 ,950000 
1500 ,425000 
2600 ,252500 
2400 ,406550 
1020 ,300000 
1590 ,463000 
1970 ,371000 
2570 ,634000 
2770 ,820000 
2180 ,785000 
1580 ,537000 
1440 ,203000 
1400 ,279000 
4580 ,2900000 
2720 ,535000 
1360 ,520000 
2150 ,360000 
960 ,332000 
1509 ,401500 
1380 ,268000 
860 ,160000 
